character,frequency,onyomi,kunyomi,jlpt,meaning
筝,,ソウ ショウ,こと,,koto
箙,,フク,えびら,,quiver
篋,,キョウ,はこ,,box
篁,,コウ,たかむら,,bamboo grove
篌,,ゴ コウ,,,type of harp
篏,,カン,は.める は.まる あな,,inlay; set in; fall into; rugged
箴,,シン,いまし.める はり,,warning; counsel; presept; needle
篆,2243,テン,,,seal-style characters
篝,,コウ,かがりび かがり ふせご,,campfire; fishing fire; beacon basket
篩,,シ サイ,ふる.う,,sieve; sift; screen
簑,2427,サ サイ,みの,,straw raincoat
簔,,サ サイ,みの,,straw raincoat
篦,,ヘイ ハイ,へら の,,spatula; arrow shaft
篥,,リキ リツ リチ,,,horn; flageolet
籠,,ロウ ル,かご こ.める こも.る こ.む,,basket; devote oneself; seclude oneself; cage; coop; implied
簀,,サク ジャク セキ,す,,rough mat (reeds)
簇,,ゾク ソウ ソク,むら.がる,,group; crowd; swarm
簓,,,ささら,,bamboo whisk; (kokuji)
篳,,ヒチ ヒツ,まがき,,fence
篷,,ホウ,とま,,woven rush awning
簗,2278,リョウ,やな,,weir; fish trap; (kokuji)
簍,,ル ロウ,,,bamboo basket
篶,,エン,くろだけ すず,,black bamboo; slender bamboo
簣,,キ,もっこ あじか,,earth-carrying basket
簧,,コウ,した,,flute reed
簪,,シン サン,かんざし,,ornamental hairpin
簟,,タン テン,たかむしろ,,a type of bamboo; round bamboo lunchbox
簷,,エン,ひさし,,eaves
簫,,ショウ,ふえ,,pan pipes; flute
簽,,セン,かご,,label; signature
籌,,チュウ,かずとり はかりごと,,plan
籃,,ラン,かご,,basket
籔,,ソウ,やぶ,,thicket; bush; underbrush; grove
籏,,キ,はた,,flag; banner
籀,,チュウ シュウ ジュ,よ.む,,a style of calligraphy
籐,,トウ,,,rattan; cane
籘,,トウ,,,climbing plants; vines; cane
籟,,ライ,ふえ,,rattling of the wind
籤,,セン,くじ かずとり,,lottery; raffle
籖,,セン,くじ かずとり,,lottery; raffle
籥,,ヤク,ふえ,,three-holed flute
籬,,リ,まがき かき,,rough-woven fence; bamboo hedge
籵,,,デカメートル,,dekametre; (kokuji)
粃,,ヒ,しな しいな,,empty grain husk
粐,,ロ コ,ぬか,,rice-bran
粤,,エツ,ここに,,alas
粭,,,すくも,,chaff; rice hulls; (kokuji)
粢,,シ,しとぎ,,millet; rice cakes
粫,,ジ メン,うるち,,nonglutinous grain
粡,,トウ,,,unpolished rice
粨,,,ヘクトメートル,,hectometre; (kokuji)
粳,,コウ,うるち ぬか,,ordinary rice
粲,,サン,いい,,bright
粱,,リョウ,あわ,,high quality rice
粮,,リョウ ロウ,かて,,food; provisions
粹,,スイ,いき,,pure; unadulterated; select
粽,,ソウ,ちまき,,rice dumplings steamed in bamboo leaves
糀,,,こうじ,,malt; (kokuji)
糅,,ジュウ,ま.じる,,mix
糂,,ジン,,,mixing rice into soup
糘,,,すくも,,chaff; rice hulls; (kokuji)
糒,,ビ ハイ,ほしい ほしい.い,,dried boiled rice
糜,,ビ,ただ.れる,,be inflamed
糢,,ボ モ,かた のっとる,,rice snacks
鬻,,イク シュク,かゆ かい ひさ.ぐ,,sell; deal in; rice gruel
糯,,ダ ナ,もちごめ,,glutinous rice
糲,,レイ ラツ,あら.い くろごめ,,unpolished rice
糴,,チョウ テキ,う.る せり かいよね,,sell (grain); auction
糶,,チョウ,せり うりよね,,auction
糺,,キュウ,ただ.す あざな.う,,ask; investigate; verify; twist (rope)
紆,,ウ,まが.る めぐ.る,,crouch
紂,,チュウ,しりがい,,harness strap; window
紜,,ウン,みだ.れる,,disorder; confusion
紕,,ヒ,,,braiding; decoration; error
紊,,ビン ブン,みだ.れる,,disturb
絅,,ケイ,ひ.く,,thin silk
絋,,コウ,,,cotton wadding
紮,,サツ,からげる,,tie up
紲,,セツ,きずな,,fetters
紿,,タイ,あざむ.く,,deceive
紵,,チョ,,,flax; linen
絆,2220,ハン,きずな ほだ.す つな.ぐ,,bonds; fetters
絳,,コウ,あか,,red
絖,,コウ,ぬめ わた,,white rice
絎,,コウ,く.れる く.ける,,blindstitch
絲,,シ,いと,,thread
絨,,ジュウ,,,wool cloth
絮,,ジョ ショ,わた,,cotton
絏,,セツ,,,tie
絣,,ホウ,かすり,,splashed pattern (on cloth)
經,,ケイ キョウ,へ.る た.つ たていと はか.る のり,,classic works; pass through
綉,,シュウ ツ トウ,,,embroidery
絛,,ジュウ ジョウ トウ,さなだ,,braid
綏,,スイ タ,やす.い,,peaceful; cheap; grab strap
絽,,ロ リョ,,,silk gauze
綛,,,かせ かすり,,splashed dye pattern; reel; skein; (kokuji)
綺,2413,キ,あや,1,figured cloth; beautiful
綮,,ケイ,,,emblem on banner
綣,,ケン,,,attachment; affection
綵,,サイ,あや あやぎぬ,,colorful
緇,,シ,くろ,,black clothing; priest
綽,,シャク,あだ しな.やか ゆる.やか,,loose; lenient
綫,,セン,すじ,,thread; line
總,,ソウ,す.べて すべ.て ふさ,,collect; overall; altogether
綢,,チュウ トウ,まとう,,be clothed in; tie; detailed; fine
綯,,トウ,な.う なわ よ.る,,twist; make rope
緜,,メン,わた つら.なる,,cotton
綸,,リン カン,いと,1,thread; silk cloth
綟,,レイ,もじ,,yellowish green; coarse mesh linen
綰,,ワン,わが.ねる たが.ねる たか.ねる,,bend around
緘,,カン,かん.する と.じる,,shut; seal
緝,,シュウ,つむ.ぐ,,spin thread; bring together; shine
緤,,セツ セチ,きずな つな.ぐ,,leash
緞,,ドン タン,,,damask
緻,2460,チ,こまか.い,,fine (i.e. not coarse)
緲,,ビョウ ミョウ,,,faint; far off
緡,,ビン コン ミン,さし つりいと なわ ぜにさし,,paper string
縅,,,おど.す,,the thread/braid (of armour); (kokuji)
縊,,イ エイ,くび.る くび.れる,,strangle
縣,,ケン,か.ける,,county; district; subdivision
縡,,サイ,こと,,breath; life
縒,,シ サ,よ.る,,twist
縱,,ジュウ,たて,,indulge in; give free reign to
縟,,ジョク,しげし,,decoration
縉,,シン,さしはさ.む,,thin red cloth; high officer
縋,,ツイ,すが.る,,cling; hang on; depend
縢,,トウ,かが.る かな から.げる むかばき,,cross-stitch; darn
繆,,ビュウ キュウ ボク リョウ,あやま.る まと.う,,error; wrap around
繦,,キョウ,むつき ぜにさし,,string of coins; child's obi; nappy
縻,,ビ ミ,きずな,,rope
縵,,マン バン,,,unpatterned silk; loose
縹,,ヒョウ,はなだ,,light blue
繃,,ホウ ヒョウ,まく たば.ねる,,wrap
縷,,ル ロウ,いと,,thread
縲,,ルイ,,,tie
縺,,レン,もつ.れる,,tangle; knot; fasten; fetter
繧,,ウン,,,a method of dyeing
繝,,カン ケン,,,a method of dyeing
繖,,サン,,,parasol; umbrella
繞,,ジョウ ニョウ,めぐ.る まわ.る もとう.る まとう,,surround; return
繙,,ハン ホン,ひもと.く,,peruse
繚,,リョウ,まと.う めぐ.る,,put on; twist around
繹,,エキ ヤク,たずね.る ぬ.く,,pull out
繪,,カイ エ,,,picture; drawing; painting; sketch
繩,,ジョウ,なわ ただ.す,,rope; cord
繼,,ケイ,つ.ぐ まま-,,succeed; inherit; patch; graft (tree)
繻,,シュ,うすぎぬ,,satin
纃,,,かすり,,splashed pattern dyeing or weaving; (kokuji)
緕,,,かすり,,splashed pattern dyeing or weaving
繽,,ヒン,おおし,,disorder; scattering
辮,,ベン ヘン,あ.む,,braid
繿,,ラン,ぼろ,,rags
纈,,ケツ ケチ,しぼり,,tie-dyeing; purblind
纉,,サン サブ,つ.ぐ,,succeed to; inherit
續,,ゾク ショク コウ キョウ,つづ.く つづ.ける つぐ.ない,,continue; carry on; succeed
纒,,テン,まつ.わる まと.う まと.める まと.まる,,wear; wrap; tie; follow around; collect
纐,,コウ,,,tie-dyeing; (kokuji)
纓,,エイ ヨウ,,,crown string; breast harness
纔,,サン ザン サイ,わずか ひたた,,a little
纖,,セン,,,fine; slender; thin kimono
纎,,セン,,,fine; delicate; minute; graceful
纛,,トウ トク,はたぼこ おにがしら,,flag; banner
纜,,ラン,ともづな,,hawser
缸,,コウ,かめ,,urn
缺,,ケツ ケン,か.ける か.く,,lack; gap; fail
罅,,カ ケ,ひび すき,,fissure; crack; hole
罌,,オウ エイ ヨウ,もたい ほとぎ かめ,,vase
罍,,ライ,さかだる,,liquor jar
罎,,ドン タン,びん,,bottle; vial; jar
罐,,カン,かま,,steam boiler (left side only)
网,,モウ ボウ,あみ,,net; net or net crown radical (no. 122)
罕,,カン,まれ,,bird-catching net; rare
罔,,モウ ボウ,あみ しい.る ない,,net
罘,,フ,うさぎあみ,,rabbit catching net
罟,,コ,あみ,,net
罠,,ビン ミン,わな あみ,,trap; snare
罨,,アン エン,あみ,,cover
罩,,トウ,こめ.る,,fish basket kept in water
罧,,リン,,,luring fish with a bonfire
罸,,バツ バチ ハツ,はっ.する,,punishment; penalty
羂,,ケン,わな,,trap; snare
羆,,ヒ,ひぐま しぐま,,brown bear
羃,,ベキ,,,power; exponent
羈,,キ ハ,おもが.い たづな たび つな.ぐ,,reins; connection
羇,,キ ハ,おもが.い たづな たび つな.ぐ,,reins
羌,,キョウ,ああ えびす,,barbarian
羔,,コウ,こひつじ,,lamb
羞,,シュウ,はじ.る すすめ.る は.ずかしい,,feel ashamed
羝,,ラン テイ,おひつじ,,male sheep; ram
羚,,レイ リョウ,かもしか,,antelope
羣,,グン,む.れる むれ むら むら.がる,,group; crowd; multitude; mob
羯,,カツ ケツ,,,barbarian
羲,,ギ キ,,,used in proper names
羹,,コウ カン,あつもの,,hot soup
羮,,コウ カン,あつもの,,hot soup
羶,,セン,なまぐさ.い,,smelling like a sheep
羸,,ルイ,つか.れる よわ.い,,thin; weak
譱,,ゼン,よ.い い.い よ.く,,virtuous; good; goodness
翅,,シ,はね つばさ,,(insect) wings; fly; merely
翆,,スイ,かわせみ みどり,,color green; kingfisher
翊,,ヨク,,,flying; assist; help; respect
翕,,キュウ,あ.う,,gather
翔,1936,ショウ,かけ.る と.ぶ,1,soar; fly
翡,,ヒ,,,kingfisher
翦,,セン,,,scissors; cut; clip; annihilate
翩,,ヘン,ひるが.える,,fluttering of flag
翳,,エイ,かげ かげ.る かざ.す きぬがさ くも.る くもり,,hold aloft
翹,,ギョウ,あ.げる つまだ.てる,,excellence
飜,,ハン ホン,ひるがえ.す ひるがえ.る,,flip over; upset; capsize
耆,,キ シ,おい.る,,senility
耄,,ボウ モウ,おいぼ.れる,,senility
耋,,テツ,としより,,old; elderly
耒,,ライ ルイ,き く すき,,come; plough; three-branch tree radical (no. 127)
耘,,ウン,くさぎ.る,,weed
耙,,ハ,,,forked hoe
耜,,シ,すき,,plough
耡,,ジョ,す.く すき,,plough; spade
耨,,ドウ ジョク ヌ ジュク,くさぎ.る くわ すき,,hoe
耿,,コウ,ひかり,,light
耻,,チ,は.じる はじ は.じらう は.ずかしい,,shame; humiliation; ashamed
聊,,リョウ,いささか,,slightly
聆,,レイ リョウ,きく,,listening; realizing
聒,,カツ,かまびす.しい,,noisy
聘,,ヘイ,へい.する と.う め.す,,invite
聚,,シュウ シュ,あつ.まる,,assemble
聟,,セイ,むこ,,son-in-law
聢,,,しか しかと,,certainly; (kokuji)
聨,,レン,つら.なる つら.ねる,,party; gang; clique
聳,,ショウ,そび.える,,rise; tower
聲,,セイ ショウ,こえ こわ-,,sound; voice; noise; tone; music
聰,,ソウ,さと.い みみざと.い,,wise; fast learner
聶,,ショウ ジョウ ニョウ,ささや.く,,whisper
聹,,ネイ,,,noisy; earwax
聽,,チョウ,き.く ゆる.す,,careful enquiry; headstrong
聿,,イチ イツ,ふで ここに,,brush; finally; self; relate; follow; here; fast; writing brush radical (no. 129)
肄,,イ,なら.う,,learn; striving; effort
肆,,シ,つら.ねる ほしいまま みせ,,four
肅,,シュク スク,つつし.む,,quietly; softly; solemnly
肛,,コウ,,,anus
肓,,コウ,,,interior region of the body too deep to be reached by acupuncture
肚,,ト,はら,,belly; stomach
肭,,トツ ジク,,,new moon
冐,,ボウ,おか.す,,risk; brave; dare; face; defy; (diseases) attack; damage; desecrate; assume (a name)
肬,,ユ ユウ,いぼ,,wart; tumor; goiter; papule
胛,,コウ,かいがらぼね,,shoulder blade
胥,,ショ ソ,あい み.る みな,,together; mutual; subordinate official
胙,,ソ サク,ひもろぎ,,offerings to gods
胝,,チ,あかぎれ,,chap; crack; callus
胄,,チュウ,かぶと ちすじ よつぎ,,lineage; bloodline
胚,2471,ハイ,はらみ はら.む,,embryo
胖,,ハン,,,half a sacrifice; ribs; abundant; plentiful
脉,,ミャク,すじ,,"vein (blood, ore); pulse; hope"
胯,,コウ カ コ,また,,crotch
胱,,コウ,,,bladder
脛,,ケイ,すね はぎ,,leg; shin
脩,2267,シュウ,おさ.める なが.い ほじし,1,dried meat
脣,,シン,くちびる,,lip
脯,,フ ホ,こじし ほじし,,dried meat
腋,,エキ セキ,わき,,armpit; side
隋,,ズイ スイ タ ダ,,,name of a Chinese dynasty; remains of sacrifice; bury; fall; sag
腆,,テン,あつ.い,,much; abundant; kind; considerate
脾,,ヒ,,,spleen
腓,,ヒ,ふくらはぎ こむら こぶら,,calf (of leg)
腑,,フ,はらわた,,viscera; bowels
胼,,ヘン,,,callus; corn
腱,,ケン キン,,,tendon
腮,,サイ,あご えら,,jaw
腥,,セイ ショウ,なまぐさ.い,,bloody; smelling of fish; raw smelling
腦,,ノウ ドウ,のうずる,,brain; memory
腴,,ユ,あぶら こえ.る,,fat; grease; growing fat
膃,,オツ,,,fat; corpulent
膈,,カク,,,diaphragm
膊,,ハク,ほじし,,arm
膀,,ボウ ホウ,,,bladder
膂,,リョ ロ,せぼね,,backbone
膠,2357,コウ キョウ,にかわ にべ,,glue; isinglass
膕,,カク コク キョク,ひかがみ,,hollow of knee
膤,,セツ,ゆき たら そり,,snow; (kokuji)
膣,,チツ,,,vagina
腟,,チツ,,,vagina
膓,,チョウ,はらわた,,guts; bowels; intestines; viscera
膩,,ジ ニ,あぶら あぶらあか,,smooth; oily
膰,,ハン,ひもごり ひもろぎ,,offerings to gods
膵,,スイ,,,pancreas; (kokuji)
膾,,カイ ケ,なます,,raw fish salad
膸,,ズイ,,,marrow; pith
膽,,タン,きも,,gall bladder; bravery; courage
臀,,デン トン,しり,,buttocks; hips; butt; rear
臂,,ヒ,ひじ,,elbow
膺,,ヨウ オウ,むね,,breast; strike
臉,,ケン セン レン,,,area between eye and cheek; face
臍,,セイ サイ,へそ ほぞ,,navel
臑,,ジ ドウ ジュ デイ,すね,,leg; shin
臙,,エン,のど べに,,rouge
臘,,ロウ,,,12th lunar month
臈,,ロウ,,,year-end sacrifice; dried meat
臚,,ロ リョ,,,skin; tell; report
臟,,ゾウ,はらわた,,viscera; bowels
臠,,レン,きりみ,,witness
臧,,ゾウ ソウ,よい,,good; bribe; servant
臺,,ダイ タイ,うてな われ つかさ,,stand; counter for vehicles
臻,,シン,いた.る,,arrive; reach; gather
臾,,ユ ヨ ヨウ,,,a little while; urging
舁,,ヨ,か.く,,bear; carry
舂,,ショウ,うすつ.く うすづ.く つ.く,,pound (mortar); sink; set (sun)
舅,,キュウ,しゅうと,,father-in-law
與,,ヨ,あた.える あずか.る くみ.する ともに,,participate in; give; award; impart; provide; cause
舊,,キュウ,ふる.い もと,,old things; old friend; old times; former; ex-
舍,,セキ シャ,やど.る,,inn; hut; house; mansion
舐,,シ,ねぶ.る な.める,,lick; lap up; burn up; taste; undergo; underrate; despise
舖,,ホ,,,shop; store
舩,2420,セン,ふね ふな-,,boat; ship; vessel
舫,,ホウ,もや.う もやいぶね,,moor; berth
舸,,カ,ふね,,large boat
舳,,ジク チク チュウ,へ へさき,,bow; prow
艀,,フ,はしけ,,sampan; lighter; barge
艙,,ソウ,,,hold (ship)
艘,,ショウ シュウ ソウ,ふね,,counter for small boats
艝,,,そり,,sled; sleigh; (kokuji)
艚,,ソウ,,,boat
艟,,ドウ ショウ トウ,いくさぶね,,fighting ship
艤,,ギ,ふなよそおい,,landing a boat
艢,,ロ ショウ ゾウ,とも ほばしら,,bow; stern
艨,,モウ ボウ,いくさぶね,,fighting ship
艪,,ロ,やぐら かい,,oar; tower
艫,,ロ,とも,,stern (of ship)
舮,,ロ,とも へさき,,bow or prow of boat
艱,,カン ケン,なや.む かた.い なや.み,,difficult; trying; be distressed; parent's funeral ceremony; mourning; perilous
艷,,エン,つや なま.めかしい あで.やか つや.めく なま.めく,,luster; glaze; polish; charm; colorful; captivating
艸,,ソウ,くさ,,grass; plants; grass radical (no. 140)
艾,,カイ ゲイ,もぐさ よもぎ おさ.める か.る,,moxa; sagebrush; wormwood; mugwort
芍,,シャク,,,peony
芒,,ボウ コウ モウ,すすき のぎ のげ,,pampas grass; beard (grain)
芫,,ゲン ガン,,,type of vetch
芟,,セン サン,か.る,,cut; clip; trim; harvest; mow
芻,,スウ シュウ ス,まぐさ,,grass cutting; hay
芬,,フン,かおり こうば.しい,,perfume
苡,,イ シ ワ,くさ,,adlay; plantain
苣,,キョ,ちしゃ,,torch
苟,,コウ ク,いやしく.も,,any; at all; in the least
苒,,ゼン,,,flourishing; luxuriant
苴,,ソ サ シャ ショ,つと あさ,,husk; bract; straw wrapper; souvenir gift; bribe
苳,,トウ,ふき,,butterbur; bog rhubarb
苺,,バイ マイ,いちご,,strawberry
莓,,バイ マイ,いちご,,wild strawberry
范,,ハン,いがた,,bee; law; casting mould
苻,,フ,,,kudzu-like plant
苹,,ヘイ ビョウ ホウ,ほ,,duckweed; mugwort
苞,,ホウ ヒョウ,つと,,husk; bract; straw wrapper; souvenir gift; bribe
茆,,エン ボウ,その かや ぬなわ,,garden; farm; yard
苜,,モク ボク,,,clover; medic
茉,,マツ バツ マ,,1,jasmine
苙,,リュウ キュウ,,,type of herb; pigsty
茵,,イン,しとね,,cushion; mattress
茴,,ウイ カイ,,,fennel
茖,,カク,,,mountain leek; garlic
茲,,シ ジ,ここ.に し.げる,,here
茱,,シュ,,,river ginger tree; oleaster
荀,,ジュン シュン,,,type of plant; proper name
茹,,ジョ ニョ,ゆ.でる う.でる,,boil; seethe
荐,,セン,しきりに,,mat; repeatedly
荅,,トウ,あずき こた.える,,adzuki beans; thick
茯,,フク ブク ヒ ビ,,,type of mushroom
茫,,ボウ,とお.い,,wide; extensive
茗,2365,ミョウ メイ,ちゃ,,tea
茘,,レイ リ レン,おおにら,,scallion; small onion
莅,,リ レイ,るい のぞ.む つ.く,,proceed to; assume a post
莚,,エン,むしろ,,straw mat
莪,,ガ,,,type of thistle
莟,,ガン カン,つぼみ,,bud (plant)
莢,,キョウ,さや,,pod; hull; husk; shell; case
莖,,ケイ キョウ,くき,,stem; stalk
茣,,ゴ,,,mat; matting
莎,,サ シャ,はますげ,,sedge
莇,,ジョ,あさがら,,Chinese matrimony vine; tilling public fields; corvee; surname
莊,,ソウ ショウ チャン,ほうき おごそ.か,,broom
荼,,タ ズ ト ダ,にがな,,a weed
莵,,ト ツ,うさぎ,,dodder (plant)
荳,,トウ ズ,まめ,,bean; nutmeg
荵,,ニン ジン,しのぶ,,hare's foot fern
莠,,ユウ,はぐさ,,appears good but is bad; type of weed which resembles rice
莉,,リ ライ レイ,,1,jasmine
莨,,ロウ,たばこ,,tobacco
菴,,アン,いおり いお,,hermitage
萓,,ギ,,,day lily
菫,,キン,すみれ,1,the violet
菎,,コン,,,a kind of fragrant herb
菽,,シュク,まめ,,beans
萃,,スイ サイ,あつ.まる,,collect; gather; assemble
菘,,スウ シュウ,,,type of rape plant
萋,,セイ サイ,,,luxuriant growth; beautiful
菁,,セイ ショウ,,,turnip
菷,,シュウ ソウ,ほうき,,broom
萇,,チョウ,,,type of plant
菠,,ハ ホ,ほうれんそう,,spinach
菲,,ヒ,うす.い,,thin; inferior
萍,,ヘイ ヒョウ,うきくさ,,floating plants
萢,,,やち やら,,bog; wetlands; used in proper names; (kokuji)
萠,,ホウ,も.える きざ.す めばえ きざ.し,,show symptoms of; sprout; bud; malt
莽,,ボウ モウ,くさ,,grass; grassy field
萸,,ユ,,,oleaster; river ginger tree
蔆,,リョウ,ひし,,water chestnut
菻,,リン,,,kind of thistle
葭,,カ,よし あし,,reed
萪,,カ,,,type of wisteria
萼,,ガク,うてな,,calyx; cup
蕚,,ガク,うてな,,calyx; cup
蒄,,カン,,,type of plant
葷,,クン,,,garlic
葫,,コ,,,garlic
蒭,,シュウ ス スウ,まぐさ,,to cut grass; hay; fodder
葮,,ダン タン,むくげ,,rose of Sharon; althea
蒂,,テイ タイ,へた,,peduncle; stem of plants
葩,,ハ,はな,,flower; petal
葆,,ホウ ホ,し.げる,,dense growth; keep; adhere to; conceal
萬,2125,マン バン,よろず,,"ten thousand; 10,000"
葯,,ヤク,,,pollen pod at tip of stamen; type of tall grass
葹,,シ,おなもみ,,cocklebur
萵,,ワ,,,lettuce
蓊,,オウ,とう,,flower stalk; vigorous growth
葢,,ガイ カイ コウ,ふた けだ.し おお.う かさ かこう,,cover; lid; flap
蒹,,ケン,おぎ,,type of reed
蒿,,コウ,よもぎ,,mugwort
蒟,,コン ク,,,devil's tongue (plant)
蓙,,ザ,ござ,,mat; matting; (kokuji)
蓍,,シ,めどぎ,,yarrow; sericea; stalks used for divination
蒻,,ジャク ニャク,,,a kind of water plant
蓚,,シュウ,,,(used only in compounds)
蓐,,ジョク ニク,しとね,,bed
蓁,,シン,,,dense growth; thicket
蓆,,セキ,むしろ,,straw mat; matting
蓖,,ヒ ヘイ,,,castor-oil plant
蒡,,ボウ ホウ,,,burdock
蔡,2319,サイ,,,type of tortoise used for divination
蓿,,シュク,,,clover; medic
蓴,,シュン,ぬなわ,,type of water plant
蔗,,シャ ショ,さとうきび,,sugar cane
蔘,,シン サン,,,luxurious growth of grass
蔬,,ソ ショ,あおもの,,greens; vegetables
蔟,,ゾク ソウ,まぶし,,gather together
蔕,,テイ タイ,へた,,calyx; stem
蔔,,フク ホク,,,giant radish; daikon
蓼,2447,シン リク リョウ,たで,,luxurious grass; a smartweed
蕀,,キョク,,,milwort
蕣,,シュン,むくげ あさがお,,rose of Sharon; althea
蕘,,ジョウ,たきぎ きこり,,firewood
蕈,,ジン シン,きのこ たけ,,mushroom; toadstool; fungus
蕁,,ジン タン,,,a kind of grass
蘂,,ズイ,しべ,,pistil; stamen
蕋,,ズイ,しべ,,pistil; stamen
蕕,,ユウ ユ,,,foul-smelling grass
薀,,ウン オン,たくわ.える つ.む,,pile up; store; hornwort
薤,,カイ,らっきょう にら,,scallion; shallot
薈,,カイ ワイ,,,luxuriant vegetation
薑,,キョウ コウ,はじかみ,,ginger
薊,,ケイ キ カイ ケ,あざみ さく とげ,,thistle
薨,,コウ,こう.じる みまか.る,,die
蕭,,ショウ,よもぎ,,a weed; mugwort; lonely; silent; calm
薔,2356,バ ショウ ショク ソウ,みずたで,,water pepper
薛,,セツ,,,type of mugwort
藪,,ソウ,やぶ,,thicket; bush; underbrush; grove
薇,,ラ ビ,ぜんまい,,an edible fern
薜,,ヘイ,,,type of vine
蕷,,ヨ,いも,,yam
蕾,,ライ,つぼみ,,"bud (plants, mushrooms not yet opened)"
薐,,ロウ,ほうれんそう,,spinach
藉,,シャ セキ ジャク,かり.る ふ.む,,carpet; lend; borrow; make excuses; spread out
薺,,セイ ザイ,ひと ととの.える なずな,,water-chestnuts; caltrop
藏,2407,ゾウ ソウ,くら おさ.める かく.れる,,hide; own; have; possess
薹,,タイ,とう あぶらな,,seed pod
藐,,ビョウ バク,かろ.んじる とお.い,,make light of; far away; beautiful
藕,,グウ グ ゴウ,はすのね,,lotus; lotus root; arrowroot
藝,2065,ゲイ ウン,う.える のり わざ,,art; craft; performance; acting; trick; stunt
藥,,ヤク,くすり,,medicine; chemical; enamel; gunpowder; benefit
藜,,レイ,あかざ,,goosefoot; wild spinach
藹,,アイ,,,flourishing; luxuriant; harmonize; graceful; noble; refined
蘊,,ウン,つ.む,,pile up
蘓,,ソ ス,よみがえ.る,,be resurrected; resuscitated; revived
蘋,,ヒン,うきくさ,,duckweed
藾,,ライ,,,type of mugwort; cover; hide
藺,,リン,い,,"rush, used for tatami covers; surname"
蘆,,ロ,あし よし,,reed; rush
蘢,,ロウ,,,dragon grass
蘚,,セン,こけ,,moss
蘰,,,かつら,,surname; (kokuji)
蘿,,ラ,つた,,ivy
虍,,コ,,,tiger spots; mottled; tiger or tiger crown radical (no. 141)
乕,,コ,とら,,tiger; brave; fierce; surname
虔,,ケン,つつし.む,,respect
號,,コウ,さけ.ぶ よびな,,mark; sign; symbol; number
虧,,キ,か.ける,,wane (moon)
虱,,シツ,しらみ,,lice; vermin
蚓,,ズ イン,みみず,,earthworm
蚣,,コウ ショウ,,,centipede; grasshopper
蚩,,シ,,,fool; make a fool of
蚪,,ト,,,tadpole
蚋,,ゼイ ネイ ゼツ ネチ,ぶゆ ぶよ ぶと か,,gnat; sand fly
蚌,,ボウ ホウ ビョウ,はまぐり どぶが.い,,clam
蚶,,カン,,,ark shell
蚯,,キュウ,みみず,,earthworm
蛄,,コ,,,mole cricket; cicada
蛆,,ソ ショ,うじ,,worm; grub; maggot
蚰,,ユウ,,,millipede
蛉,,レイ,,,dragonfly; moon moth
蠣,,レイ,かき,,oyster
蚫,,ホウ,あわび,,abalone; dried fish; surname
蛔,,カイ ユウ,かいちゅう はらのむし,,intestinal worms
蛞,,カツ,,,kind of slug
蛩,,キョウ,こおろぎ,,cricket
蛬,,キョウ,こおろぎ きりぎりす,,cricket
蛟,,コウ キョウ,みずち,,dragon
蛛,,チュ シュ,,,spider
蛯,,,えび うば,,shrimp; (kokuji)
蜒,,エン タン,,,meandering; serpentine
蜆,,ケン,しじみ,,fresh-water clam
蜈,,ゴ,,,centipede
蜀,,ショク ゾク,いもむし,,green caterpillar; Szechwan
蜃,,シン,,,clam
蛻,,ゼイ セイ タイ,もぬ.ける ぬけがら,,insect moulting
蜑,,タン,あま,,egg
蜉,,フ,,,kind of ant; may fly
蜍,,ショ,,,toad
蛹,,ヨウ,さなぎ,,chrysalis; pupa
蜊,,リ,あさり,,a kind of bivalve
蜴,,エキ,,,lizard
蜿,,エン ワン,,,meandering
蜷,2284,ケン,にな,,an edible river snail
蜻,,セイ,,,dragonfly
蜥,,シャク セキ,とかげ,,a lizard
蜩,,チョウ,ひぐらし せみ,,clear-toned cicada
蜚,,ヒ,あぶらむし,,beetle; cockroach
蝠,,フク,,,bat
蝟,,イ,はりねずみ,,hedgehog
蝸,,カ,かたつむり,,snail
蝌,,カ,,,tadpole
蝎,,カツ,さそり すくもむし,,scorpion
蝴,,コ,,,butterfly
蝗,,コウ,いなご ばった,,locust
蝨,,シツ,しらみ,,lice; vermin
蝮,,フク,まむし,,viper; adder; asp
蝙,,ヘン,こうもり,,bat
蝓,,ユ,,,slug; snail
蝣,,ユウ,,,mayfly
蝪,,エキ,,,lizard
蠅,,ヨウ,はえ はい,,fly
螢,,ケイ,ほたる,,firefly
螟,,メイ ミョウ,ずいむし,,injurious parasite
螂,,ロウ,,,mantis
螯,,ゴウ,はさみ,,claws
蟋,,シツ,,,cricket; grasshopper
螽,,シュウ,いなご,,grasshopper
蟀,,シュツ,,,cricket; grasshopper
蟐,,ジョウ,もみ,,toad; mantis; (ghost kanji); (kokuji)
雖,,スイ,いえど.も これ,,although; however
螫,,セキ カク,さ.す,,bee sting
蟄,,チツ チュウ,ちっ.する かく.れる,,hibernation of insects
螳,,トウ,,,mantis
蟇,,バ マ,ひき,,toad
蟆,,バ マ,ひき,,toad
螻,,ロウ ル,けら,,mole cricket
蟯,,ギョウ ジョウ,,,intestinal worm
蟲,,チュウ キ,むし,,insect; bug; temper
蟠,,ハン,わだかま.る わらじむし,,coiled up
蠏,,カイ,かに,,crab
蠍,,カツ,さそり,,scorpion
蟾,,セン,,,toad
蟶,,テイ,まて,,razor clam
